col_tau_01,col_tau_02,col_tau_14,col_tau_17
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.19999981,10.19999981,10.19999981,10.19999981
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
10.39999962,10.39999962,10.39999962,10.39999962
